Temperature,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,SDI,Level
24,63.06,47.75,42.14,28.05,12.49,8.9,Healthy
26,58.64,49.83,50.67,34.13,15.86,3.14,Healthy
31,54.55,38.73,38.49,12.53,21.9,28.03,Low
23,23.63,37.46,21.46,7.74,17.84,46.94,Moderate
24,69.62,20.56,55.37,41.99,9.26,27.01,Low
24,49.15,49.06,59.08,38.19,23.53,9.65,Healthy
40,20.42,46.31,55.84,38.36,19.74,42.81,Moderate
39,36.92,27.53,5.07,8.51,4.47,73.51,High
25,59.71,37.18,42.56,39.44,17.37,8.75,Healthy
39,24.75,69.83,6.33,7.35,29.84,75.17,High
25,62.83,46.58,51.18,17.93,21.12,9.75,Healthy
20,41.42,64.73,33.88,32.33,24.0,27.36,Low
25,68.2,53.0,51.23,23.25,17.26,9.84,Healthy
25,56.1,50.29,38.62,46.51,12.09,9.78,Healthy
22,59.41,48.26,57.3,27.6,16.45,8.59,Healthy
25,64.93,50.45,44.17,29.64,16.96,5.01,Healthy
34,28.17,20.72,47.57,20.74,21.54,47.85,Moderate
23,69.46,63.88,31.15,20.16,15.29,24.17,Low
25,25.23,46.17,49.0,14.15,25.89,29.63,Low
33,35.08,38.24,59.7,20.58,11.86,37.88,Moderate
29,61.11,49.37,45.5,29.73,13.94,9.38,Healthy
26,54.07,48.63,47.12,34.85,23.45,5.91,Healthy
24,54.35,45.9,55.07,41.09,19.09,8.16,Healthy
25,68.91,47.64,44.1,26.18,15.57,9.68,Healthy
22,49.84,23.6,54.91,19.66,1.12,37.4,Moderate
25,33.51,14.47,11.19,9.11,14.27,54.83,Moderate
40,22.65,21.72,27.85,19.54,3.59,70.22,High
28,62.4,18.23,7.62,20.13,15.18,39.21,Moderate
24,56.93,50.08,42.4,18.74,20.31,9.8,Healthy
23,57.82,29.46,6.37,19.18,14.1,33.6,Moderate
24,54.28,45.48,59.11,35.98,15.75,8.69,Healthy
24,69.3,49.57,54.35,29.26,26.4,9.65,Healthy
36,29.05,17.64,59.03,19.96,16.17,53.64,Moderate
38,34.65,10.19,52.8,5.23,5.25,71.27,High
40,32.0,17.34,25.7,12.69,4.57,71.81,High
22,53.37,49.8,23.27,19.35,12.39,21.28,Low
27,58.19,46.03,44.4,44.72,19.22,8.96,Healthy
31,45.21,39.6,24.91,5.06,11.65,43.58,Moderate
24,62.66,61.49,47.34,35.38,20.49,8.65,Healthy
37,31.43,17.65,20.92,6.13,8.89,71.41,High
38,63.22,46.59,42.32,45.47,18.99,24.76,Low
26,71.84,68.71,46.8,19.3,18.15,22.81,Low
28,68.84,59.65,6.37,41.8,18.03,27.4,Low
36,57.33,35.94,30.62,43.25,8.86,32.97,Moderate
38,24.75,30.79,15.21,6.7,6.15,72.78,High
22,21.6,38.81,6.95,16.63,3.01,55.8,Moderate
26,56.89,39.23,21.25,26.8,20.36,16.98,Low
26,67.19,50.67,45.02,30.65,15.82,7.52,Healthy
22,61.32,47.05,55.16,36.03,16.48,7.47,Healthy
23,55.01,49.26,29.58,38.03,20.56,9.97,Healthy
36,66.45,37.04,18.65,33.05,19.59,32.1,Moderate
37,32.91,45.77,11.64,34.67,15.06,42.98,Moderate
26,62.35,48.96,58.57,32.85,28.22,7.02,Healthy
26,64.74,44.58,41.11,40.82,21.5,9.03,Healthy
38,33.79,10.88,9.14,11.17,21.19,71.84,High
38,40.74,12.12,20.5,9.25,5.65,70.71,High
28,22.18,48.37,59.14,48.52,18.34,29.67,Low
36,48.01,54.4,51.34,30.14,19.17,23.99,Low
25,59.58,58.58,40.53,36.47,29.31,9.08,Healthy
39,20.97,12.57,54.12,11.37,28.27,70.4,High
39,22.17,21.22,20.07,7.72,25.37,73.32,High
27,24.5,48.98,21.18,27.15,25.42,30.91,Moderate
26,57.53,57.02,11.89,26.59,20.94,18.39,Low
24,53.63,36.42,46.63,16.81,8.2,23.18,Low
24,62.59,49.42,55.68,24.95,12.54,8.68,Healthy
20,56.06,47.26,46.42,22.59,17.73,14.67,Low
31,41.98,55.91,55.35,31.06,25.08,22.48,Low
25,60.14,45.96,34.99,35.34,9.16,8.57,Healthy
32,21.14,29.23,10.29,10.71,12.61,62.94,Moderate
25,54.98,42.46,56.01,32.87,16.89,7.8,Healthy
30,72.68,67.08,39.27,42.3,18.2,25.11,Low
23,60.74,51.38,39.86,26.14,24.01,8.4,Healthy
33,51.18,32.89,25.01,19.73,18.46,34.59,Moderate
20,50.83,56.33,12.58,31.67,28.52,27.46,Low
38,31.44,16.14,8.95,8.47,20.86,72.27,High
27,53.11,53.98,22.01,46.68,18.05,18.33,Low
25,56.87,51.04,39.1,49.11,14.32,9.96,Healthy
34,22.2,15.07,53.87,5.55,2.88,71.2,High
37,26.82,38.81,24.55,20.06,8.81,53.09,Moderate
39,26.23,64.31,12.51,6.77,3.21,73.83,High
27,69.71,37.48,52.33,40.4,28.46,17.83,Low
25,63.46,46.3,27.99,35.07,19.11,8.06,Healthy
25,69.83,56.82,20.74,27.98,4.2,23.76,Low
25,58.64,40.13,54.9,37.0,23.74,7.14,Healthy
38,47.11,11.73,14.69,9.35,1.93,72.26,High
32,25.01,12.83,10.34,6.22,27.18,72.26,High
40,22.26,15.0,16.95,8.18,24.47,78.17,High
26,54.01,46.42,56.46,39.75,17.09,8.31,Healthy
26,72.92,68.13,57.08,44.84,7.37,25.49,Low
24,66.33,56.44,52.02,32.83,19.43,8.18,Healthy
35,75.18,60.12,28.13,7.25,26.2,45.39,Moderate
24,31.1,62.75,59.24,7.15,6.62,42.24,Moderate
24,61.6,18.85,29.45,46.94,11.76,28.07,Low
28,65.74,22.69,21.68,23.39,17.24,31.04,Moderate
40,65.34,10.51,24.21,45.52,16.93,51.69,Moderate
23,74.72,45.0,51.76,12.36,14.47,23.91,Low
29,45.14,19.82,42.81,31.79,10.95,32.24,Moderate
35,42.23,29.52,28.72,29.65,5.45,43.96,Moderate
27,60.68,48.25,36.16,24.08,13.45,11.23,Low
29,45.92,41.24,18.62,20.2,27.72,31.81,Moderate
40,22.06,10.78,31.44,11.83,23.58,72.91,High
29,21.98,30.84,40.94,9.04,18.3,47.4,Moderate
39,22.93,12.17,7.67,19.23,4.33,80.45,High
37,35.15,15.84,42.76,36.18,11.57,49.19,Moderate
25,74.16,52.99,49.5,38.58,22.7,9.7,Healthy
26,63.99,48.77,29.92,29.83,24.15,9.78,Healthy
23,64.04,59.82,34.33,24.04,13.29,17.48,Low
40,21.73,17.67,19.72,10.73,22.06,73.61,High
31,34.72,64.25,30.09,7.87,20.88,44.53,Moderate
25,62.42,54.03,49.69,33.35,16.56,4.14,Healthy
39,27.51,19.12,9.71,21.0,7.47,70.94,High
34,74.53,39.52,7.13,46.24,9.12,43.87,Moderate
32,49.91,65.47,53.41,42.46,20.26,24.26,Low
40,67.29,36.55,50.74,25.4,2.54,41.27,Moderate
23,55.09,47.04,55.07,31.3,19.65,7.76,Healthy
40,29.25,56.41,12.2,16.12,20.75,56.0,Moderate
40,69.08,13.04,44.51,31.69,26.01,45.76,Moderate
24,53.65,48.55,48.33,24.9,17.1,8.81,Healthy
26,63.35,48.99,36.74,25.91,13.6,9.87,Healthy
27,64.17,51.23,48.36,36.08,16.18,6.39,Healthy
37,22.59,14.77,59.91,5.05,10.73,71.76,High
22,59.86,45.54,11.17,27.72,22.58,18.82,Low
38,24.3,14.16,29.94,5.49,18.31,71.79,High
40,77.82,12.2,5.8,5.93,23.35,75.27,High
26,55.81,52.66,53.08,28.6,24.77,7.63,Healthy
39,57.16,55.68,13.69,15.99,13.77,41.51,Moderate
36,24.55,16.27,6.05,14.02,15.85,71.34,High
27,52.66,48.83,42.21,38.11,26.02,10.0,Healthy
24,64.92,63.88,17.69,42.0,8.14,24.78,Low
24,61.45,49.01,49.3,48.03,15.72,7.86,Healthy
20,24.3,53.0,5.48,31.91,28.35,41.81,Moderate
25,36.45,46.58,35.99,37.95,14.0,17.82,Low
24,55.15,49.15,46.9,34.27,21.54,4.69,Healthy
25,30.91,25.97,50.49,27.86,15.91,29.24,Low
24,60.4,46.85,38.25,39.03,26.11,7.24,Healthy
34,37.55,10.65,15.44,17.67,28.29,60.77,Moderate
25,59.45,55.9,34.82,31.86,20.13,6.25,Healthy
26,56.28,56.15,58.62,27.39,19.98,9.26,Healthy
33,30.12,12.15,19.59,8.43,4.53,70.95,High
37,28.36,13.92,16.13,5.79,8.26,77.13,High
21,68.77,34.19,29.41,29.5,16.6,23.47,Low
37,22.98,11.42,15.44,16.16,26.67,71.81,High
40,67.33,10.49,10.29,12.72,3.41,71.19,High
32,58.08,44.58,46.47,49.6,9.14,22.38,Low
38,54.25,39.37,15.69,31.56,10.09,38.12,Moderate
27,60.82,40.84,56.16,36.24,25.35,9.81,Healthy
24,62.5,60.78,52.75,30.88,23.8,9.76,Healthy
26,61.97,47.54,43.21,27.86,19.77,6.05,Healthy
27,64.61,62.12,53.14,8.95,25.48,24.84,Low
22,56.35,46.59,50.08,42.07,23.56,10.0,Healthy
34,25.01,11.97,29.23,7.13,4.95,72.48,High
36,23.02,10.23,18.1,15.65,2.31,76.77,High
24,56.3,42.21,47.49,47.53,19.79,11.31,Low
22,58.31,64.78,52.44,20.55,15.75,18.39,Low
31,59.09,56.71,52.31,35.81,24.98,13.27,Low
25,65.95,42.06,42.62,36.24,21.47,8.12,Healthy
37,20.44,13.51,12.99,7.68,1.33,85.63,High
34,25.24,10.59,8.37,7.89,27.86,75.83,High
23,57.94,46.29,41.43,45.76,21.04,9.96,Healthy
38,24.02,12.01,37.36,8.08,6.05,74.8,High
20,60.61,50.49,54.19,37.36,15.15,9.11,Healthy
37,32.61,10.62,14.88,43.2,3.2,68.06,Moderate
24,60.57,41.83,31.62,34.57,19.83,9.08,Healthy
29,22.42,14.84,20.85,36.09,1.22,57.58,Moderate
24,60.66,53.56,56.2,42.18,14.58,7.27,Healthy
35,23.42,13.51,20.01,13.32,4.01,73.2,High
21,28.47,11.54,17.26,5.24,1.07,72.3,High
38,37.16,13.15,21.42,10.81,1.9,73.13,High
26,66.6,52.44,47.26,40.76,28.14,9.9,Healthy
29,40.01,33.42,52.61,24.23,16.51,27.75,Low
24,55.54,47.0,45.15,27.12,21.01,7.65,Healthy
28,67.44,26.89,20.83,30.76,29.36,29.96,Low
32,61.68,17.28,39.53,19.5,6.92,38.83,Moderate
25,72.9,42.53,50.04,34.36,28.56,13.03,Low
26,63.65,53.41,47.85,36.13,26.71,7.05,Healthy
24,65.99,61.81,22.8,39.34,6.15,22.84,Low
33,23.98,57.87,11.08,34.7,2.24,51.3,Moderate
40,21.42,24.24,18.84,13.17,26.44,70.69,High
27,74.4,43.97,28.11,28.87,16.51,19.34,Low
25,57.04,51.75,35.51,30.63,24.06,6.44,Healthy
24,62.75,56.31,48.67,27.74,25.62,9.2,Healthy
25,62.01,56.14,30.63,29.83,21.96,9.07,Healthy
26,63.52,42.66,17.07,48.03,12.49,21.38,Low
26,59.23,43.59,55.07,31.23,20.43,6.11,Healthy
28,78.33,44.35,46.5,21.58,6.76,26.14,Low
25,68.58,16.25,8.65,27.13,15.95,35.37,Moderate
40,40.16,17.85,17.28,9.51,6.66,71.13,High
40,23.02,10.63,33.23,7.34,5.4,80.61,High
24,61.2,44.44,55.66,41.59,14.75,8.17,Healthy
40,34.28,27.75,6.58,6.23,28.3,72.88,High
40,26.3,10.53,5.0,35.83,13.4,71.36,High
25,59.45,49.9,31.96,26.68,11.76,8.41,Healthy
25,58.33,47.95,50.78,37.59,8.91,6.4,Healthy
39,26.44,10.94,13.17,15.71,23.96,73.07,High
26,74.4,61.31,6.37,28.88,4.79,34.43,Moderate
26,61.29,50.67,49.83,40.0,13.72,5.1,Healthy
24,48.37,52.15,54.57,31.99,16.7,9.78,Healthy
23,60.53,49.89,34.13,37.59,17.43,6.51,Healthy
36,21.33,30.55,34.67,40.86,3.99,54.73,Moderate
23,58.26,46.68,54.25,29.79,26.47,8.49,Healthy
32,78.51,10.93,52.33,9.61,29.59,53.27,Moderate
39,35.33,32.05,55.27,14.21,23.09,49.75,Moderate
33,78.66,13.77,39.46,22.66,6.18,49.26,Moderate
26,22.6,54.9,54.17,16.84,1.5,38.81,Moderate
39,40.55,54.49,25.11,6.33,5.35,56.19,Moderate
36,23.4,35.9,32.7,7.01,27.49,58.88,Moderate
36,49.11,47.63,55.41,31.93,5.79,28.31,Low
40,21.23,16.57,29.68,7.9,25.11,74.16,High
20,68.33,53.15,46.98,39.73,26.08,15.24,Low
21,64.34,43.25,20.79,41.65,14.65,20.53,Low
37,20.4,55.94,21.87,8.65,28.79,60.36,Moderate
25,60.43,44.34,57.08,47.22,16.22,8.57,Healthy
24,47.19,65.68,13.31,8.23,29.21,40.78,Moderate
21,49.15,64.66,45.12,42.36,16.3,21.16,Low
28,31.61,60.7,25.33,32.46,14.01,30.75,Moderate
34,69.73,11.09,31.63,13.75,23.78,49.42,Moderate
28,60.13,49.25,44.18,27.69,24.68,7.97,Healthy
22,47.89,65.18,31.06,23.39,18.73,24.91,Low
27,66.15,23.1,52.16,34.33,7.07,24.57,Low
26,42.54,44.25,19.87,26.69,27.4,24.39,Low
28,69.2,23.03,27.55,14.43,28.19,37.73,Moderate
26,50.17,49.63,57.83,28.11,21.97,9.32,Healthy
37,25.08,21.71,19.31,5.63,13.98,71.0,High
28,20.57,23.46,41.94,17.44,18.27,44.93,Moderate
27,73.94,60.47,44.1,37.87,13.65,17.71,Low
34,65.2,41.41,51.96,49.45,27.83,26.48,Low
22,35.18,61.99,47.24,34.57,13.33,24.55,Low
30,33.31,53.49,51.89,32.97,7.91,26.83,Low
23,58.38,50.39,55.66,23.99,15.24,8.74,Healthy
25,34.94,35.39,48.21,28.55,24.94,22.66,Low
24,42.15,66.75,8.02,43.03,26.49,34.1,Moderate
25,58.87,57.87,40.07,23.81,20.95,9.35,Healthy
25,59.43,59.32,36.25,40.92,25.5,9.87,Healthy
37,21.11,23.55,8.54,6.48,12.82,76.05,High
22,34.13,29.78,29.7,46.01,14.33,35.77,Moderate
21,51.26,46.53,27.64,30.15,20.19,16.91,Low
27,75.13,55.1,20.3,29.4,14.52,22.29,Low
22,26.46,32.38,48.2,35.46,18.55,29.91,Low
40,24.18,17.15,47.34,8.61,6.04,72.73,High
29,79.32,42.76,21.14,27.89,9.84,30.54,Moderate
25,53.98,43.14,52.36,43.98,22.99,9.63,Healthy
23,33.36,22.98,41.48,5.46,9.02,49.28,Moderate
39,35.47,16.89,9.16,5.54,19.39,73.21,High
28,37.08,60.61,10.3,8.37,4.07,51.03,Moderate
39,20.37,15.36,14.14,40.75,6.73,71.58,High
24,57.81,24.32,33.26,15.03,10.11,29.8,Low
28,60.84,55.4,58.86,36.23,17.85,8.72,Healthy
24,56.69,48.72,42.52,28.73,10.03,9.45,Healthy
21,58.21,47.47,37.34,35.91,21.84,9.76,Healthy
40,21.06,32.47,13.6,9.45,8.03,73.97,High
25,50.49,54.78,44.76,28.5,20.62,9.22,Healthy
29,46.54,26.04,42.47,27.93,15.53,27.69,Low
35,41.49,10.04,10.8,5.15,2.58,76.0,High
38,24.37,13.33,30.95,9.23,25.27,70.31,High
25,63.03,51.04,28.26,25.27,18.84,9.25,Healthy
26,69.86,48.76,43.19,41.41,23.51,9.85,Healthy
20,58.77,50.44,25.4,26.85,4.31,21.75,Low
26,61.63,58.08,45.77,34.84,10.65,9.76,Healthy
